G=6.6743e-11,dt=3600,t_total=2592000
Iteration,Time,Body 1 position (x),Body 1 position (y),Body 1 velocity (x),Body 1 velocity (y),Body 1 acceleration (x),Body 1 acceleration (y),Body 2 position (x),Body 2 position (y),Body 2 velocity (x),Body 2 velocity (y),Body 2 acceleration (x),Body 2 acceleration (y)
10,36000,19341.167099324226,493.648155377953,1.1928042614030767,0.051397213317731213,3.300915839657812e-05,3.169029913270934e-06,382828069.5438601,36751879.33064892,-96.94375407048413,1017.8227523416781,-0.002682780265982098,-0.0002575591540834788
11,39600,23635.262440375303,678.6781233217854,1.3116372316307578,0.06280572100550658,3.29745553891506e-05,3.4845330546354527e-06,382479072.02920634,40416041.23907896,-106.60176302801969,1016.8955393869776,-0.0026799679475232366,-0.0002832012983435346
12,43200,28357.156474246032,904.7787189416091,1.4303456310317,0.07535004000219421,3.293695841215918e-05,3.799669352041696e-06,382095305.68230546,44076865.18087208,-116.24964763910334,1015.8760147129409,-0.002676912297732916,-0.0003088136277952233
13,46800,33506.400745960156,1176.0388629495083,1.548918681315473,0.08902884966954432,3.289637036884519e-05,4.11441068945326e-06,381676806.9508047,47734018.83383867,-125.88653191094184,1014.7642856528781,-0.0026736135525686376,-0.0003343938573409754
14,50400,39082.50799869586,1496.5427217598678,1.6673456146433157,0.10384072815157605,3.2852794422982716e-05,4.428728946647259e-06,381223615.4359253,51387170.26218903,-135.51154070018893,1013.5604677664506,-0.002670071969162395,-0.00035993970154296997
15,54000,45084.95221141179,1870.3693431055417,1.7856156745660534,0.11978415235950618,3.280623399978971e-05,4.742596001591404e-06,380735773.88940465,55035987.946148254,-145.12379978917355,1012.2646848408959,-0.002666287825894722,-0.00038544887481632917
16,57600,51513.16863984959,2301.592291599764,1.9037181169652964,0.13685749796523522,3.275669278681809e-05,5.055983732849245e-06,380213328.21016365,58680140.81157548,-154.72243596239454,1010.8770688915572,-0.002662261422467034,-0.0004109190916246011
17,61200,58366.55386092466,2794.2792842746107,2.0216422109978414,0.1550590394034925,3.2704174734822366e-05,5.368864022013442e-06,379656327.44069904,62319298.25958508,-164.30657708327587,1009.3977601617087,-0.0026579930799722263,-0.0004363480666775215
18,64800,65644.46582051688,3352.4918261271837,2.139377240043202,0.1743869498827409,3.2648684058605885e-05,5.681208756166864e-06,379064823.76319927,65953130.19616723,-173.87535217117588,1007.8269071216696,-0.002653483140963451,-0.0004617335151310358
19,68400,73346.2238846724,3980.284845705051,2.256912502654183,0.1948393014049416,3.259022523784438e-05,5.992989830371399e-06,378438872.495383,69581307.06180525,-183.4278914786443,1006.1646664671979,-0.002648731969521048,-0.00048707315278957546
20,72000,81471.10889422747,4681.7063307628405,2.374237313510423,0.21641406479427863,3.252880301788568e-05,6.304179150184216e-06,377778532.0860599,73203499.86108716,-192.96332656892008,1004.4112031171554,-0.0026437399513175456,-0.0005123646963105626
21,75600,90018.36322286498,5460.796964022244,2.4913410043748114,0.23910910973494182,3.246442241052553e-05,6.6147486342013605e-06,377083864.1104118,76819380.19230892,-202.48079039366326,1002.5666902104374,-0.002638507493680709,-0.0005376058634111395
22,79200,98987.1908386143,6321.589759068034,2.6082129250527033,0.2629222048180667,3.239708869475828e-05,6.924670216628379e-06,376354933.2649946,80428620.2770665,-211.9794173709138,1000.6313091021573,-0.0026330350256545515,-0.0005627943730770915
23,82800,108376.75736880404,7268.109696413075,2.724842444353833,0.28785101759792886,3.2326807417502e-05,7.233915849877775e-06,375591807.3624593,84030892.98983426,-221.45834346327018,998.6052493590797,-0.0026273229980582737,-0.0005879279457739531
24,86400,118186.19016847784,8304.37335976562,2.8412189510568404,0.31389311465748887,3.2253584394297545e-05,7.542457507193093e-06,374794557.3259915,87625871.88752694,-230.91670625627998,996.4887087542935,-0.0026213718835430724,-0.000613004303660277
25,90000,128414.57839228246,9434.388572532578,2.9573318548763114,0.341045961683384,3.217742570998065e-05,7.850267185299299e-06,373963257.1834689,91213231.2390424,-240.35364503703505,994.2818932611165,-0.0026151821766467673,-0.0006380211708030406
